feature,impurity_importance,impurity_rank
feature_353,0.0021336326449366127,170
feature_321,0.0021268871890389217,171
feature_317,0.002125493377245068,172
feature_413,0.0021200745572582226,173
feature_405,0.0021105446499437536,174
feature_453,0.0021101076444871823,175
feature_522,0.0020933662952023076,176
feature_475,0.0020913495314428335,177
feature_214,0.0020871807619744767,178
feature_343,0.0020850269048738003,179
feature_210,0.0020791973165355496,180
feature_575,0.0020765855383513367,181
feature_223,0.0020761580555211387,182
feature_456,0.002074422919140828,183
feature_216,0.002073758410360553,184
feature_105,0.002072493918753666,185
feature_446,0.0020715074374797297,186
feature_30,0.0020703755652864905,187
feature_425,0.002062442704031643,188
feature_176,0.002059148708123688,189
feature_100,0.002057620356054724,190
feature_439,0.002056948331461114,191
feature_9,0.00205624072577851,192
feature_267,0.002050048821378501,193
feature_497,0.002047130962492536,194
feature_218,0.002042296436305517,195
feature_98,0.0020418511515127454,196
feature_471,0.0020401747842451736,197
feature_20,0.002036018281502137,198
feature_211,0.0020340907802216123,199
feature_491,0.0020330948989787825,200
feature_494,0.002028103061516742,201
feature_138,0.0020262502464427623,202
feature_159,0.0020225973028775053,203
feature_388,0.0020156483278067966,204
feature_468,0.0020132186234029436,205
feature_303,0.0019957632058342644,206
feature_355,0.0019902833116417174,207
feature_44,0.0019816658751429044,208
feature_421,0.001968467651861585,209
feature_2,0.0019583920494005043,210
feature_454,0.001946191952582279,211
feature_204,0.0019459391278689182,212
feature_412,0.001945605055726373,213
feature_38,0.0019425506054945717,214
feature_312,0.0019339039223644067,215
feature_434,0.001919709754909102,216
feature_556,0.0019088908551892975,217
feature_239,0.0019060936485500023,218
feature_391,0.0019040848329530233,219
feature_524,0.0019038372269600708,220
feature_145,0.0019035687281717915,221
feature_290,0.0019031586326763955,222
feature_54,0.0019001133295543618,223
feature_392,0.0018988782407758063,224
feature_416,0.001885363147432624,225
feature_430,0.001884210000505905,226
feature_86,0.0018791617774873695,227
feature_363,0.0018749917332067214,228
feature_554,0.0018690067831365989,229
feature_173,0.001863689542415832,230
feature_253,0.0018616025741347193,231
feature_140,0.0018522310720050015,232
feature_311,0.0018461877684166446,233
feature_177,0.0018383227340197264,234
feature_134,0.0018282762772832502,235
feature_228,0.0018266783422726046,236
feature_51,0.0018194023724267358,237
feature_143,0.0018167473367325777,238
feature_552,0.00180853576400669,239
feature_185,0.001808016486059859,240
feature_60,0.0018013339770356835,241
feature_295,0.0017970769742895697,242
feature_207,0.0017924546822607993,243
feature_55,0.00179164100511064,244
feature_120,0.001789881093883713,245
feature_208,0.0017861021668433713,246
feature_15,0.00178554220720266,247
feature_184,0.0017744241015479204,248
feature_553,0.0017707167744532531,249
feature_349,0.001766761592383072,250
feature_201,0.0017612213497857582,251
feature_339,0.0017588661525620014,252
feature_324,0.00175761214776406,253
feature_320,0.001745930410868847,254
feature_198,0.0017453068840635124,255
feature_133,0.0017389856939228597,256
feature_181,0.0017356193676625,257
feature_559,0.001735284183936132,258
feature_172,0.001715242483318222,259
feature_487,0.0017150455836863992,260
feature_486,0.0017120186566091072,261
feature_163,0.0016998148334970292,262
feature_56,0.001695932333834377,263
feature_108,0.0016954201523929474,264
feature_170,0.0016911437307482664,265
feature_66,0.0016898725619465906,266
feature_572,0.0016884435546005911,267
feature_57,0.0016880415107998756,268
feature_445,0.0016875323128731996,269
feature_549,0.001680076726714888,270
feature_162,0.0016638496868467353,271
feature_406,0.0016620320384245766,272
feature_300,0.0016498167577269753,273
feature_3,0.0016416794137175412,274
feature_483,0.0016382000051363252,275
feature_118,0.0016364998563454733,276
feature_107,0.0016361848016277338,277
feature_45,0.001635756242442361,278
