feature_count,features,added_feature,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_sem,cv_roc_auc_mean,cv_balanced_accuracy_mean,temporal_test_pr_auc,fit_time_mean_seconds,fit_time_std_seconds,score_time_mean_seconds,inference_time_ms_per_sample,tokens_mean_per_sample,tokens_std_per_sample,tokens_total_dataset,json_encoding,token_scope,token_multiplier_vs_top1,pr_auc_gain_vs_top1,marginal_pr_auc_gain,marginal_tokens,marginal_pr_auc_per_100_tokens
11,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510",feature_510,0.2183566467877526,0.0517358856747109,0.013358148241296412,0.7440997004097196,0.5133509733159085,0.21345124615573904,1.940058914820353,0.14559143109749448,0.15267839431762695,0.19580290870379655,94.3446075303127,3.293624780955025,147838,cl100k_base,feature-value JSON only; prompt overhead excluded,9.534244808461242,0.1119484338641637,-0.02601187783531081,8.889597957881307,-0.29261028404832745
12,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103",feature_103,0.2193304582655907,0.047955109388289875,0.012381956001760109,0.7359349969981603,0.5184991395220953,0.19046393023392028,1.952022870381673,0.13597245857804324,0.14076584180196125,0.19025553078472224,103.23611997447351,3.294857986370261,161771,cl100k_base,feature-value JSON only; prompt overhead excluded,10.432800206371727,0.11292224534200179,0.0009738114778380935,8.89151244416081,0.010952146599959045
13,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21",feature_21,0.23319153768551013,0.047477881034785376,0.012258736170729381,0.7500349608573463,0.5186476953366476,0.1644243147009927,1.8007298787434896,0.06065249929981394,0.12819175720214843,0.18221979830171833,112.23165283982131,3.293721534190827,175867,cl100k_base,feature-value JSON only; prompt overhead excluded,11.341867664130014,0.12678332476192122,0.013861079419919431,8.995532865347798,0.15408847510651072
14,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341",feature_341,0.23921332252012528,0.05362780022387787,0.013846638477387825,0.7534090806207314,0.5169466281065701,0.17142035645735004,1.8355533758799234,0.09679567236571864,0.13867395718892414,0.2043268152849003,121.1238034460753,3.327771426009973,189801,cl100k_base,feature-value JSON only; prompt overhead excluded,12.240487553205211,0.13280510959653638,0.006021784834615157,8.892150606253992,0.06772022991131009
15,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65",feature_65,0.24171800579316544,0.05301572703002589,0.013688601858291244,0.7520710393341186,0.5201212312811733,0.11043425708196669,1.8906411170959472,0.08097759440732374,0.13773566881815594,0.1958731104023636,130.02042118698148,3.3819582281906486,203742,cl100k_base,feature-value JSON only; prompt overhead excluded,13.13955888043338,0.13530979286957653,0.0025046832730401536,8.89661774090618,0.02815320772436644
16,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65,feature_64",feature_64,0.23632537477422094,0.05093103420864333,0.01315033648634639,0.7458949601003927,0.5198147245246222,0.11122338254037405,2.082179133097331,0.08496941579690247,0.13745223681132,0.2022164118871184,138.90810465858328,3.4779699925003773,217669,cl100k_base,feature-value JSON only; prompt overhead excluded,14.037727331355605,0.12991716185063204,-0.005392631018944494,8.887683471601804,-0.06067532711054789
17,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65,feature_64,feature_577",feature_577,0.24317360402022764,0.04636218571101238,0.011970664876835095,0.7614242783154375,0.5186824855084241,0.1257666022766475,2.098508930206299,0.09400534307283087,0.1386555035909017,0.1830025583871684,147.8040842373963,3.497385801750209,231609,cl100k_base,feature-value JSON only; prompt overhead excluded,14.936734167419065,0.13676539109663874,0.0068482292460066985,8.895979578813012,0.07698117093610118
18,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65,feature_64,feature_577,feature_316",feature_316,0.23615284300912023,0.04579177644491722,0.01182338583762783,0.7586081482322542,0.5104386915986336,0.10779524641593685,2.0476932843526203,0.07822484682310757,0.13275790214538574,0.1800570276001322,156.6955966815571,3.5234843953434907,245542,cl100k_base,feature-value JSON only; prompt overhead excluded,15.83528956532955,0.12974463008553133,-0.007020761011107407,8.89151244416081,-0.07896025625784336
19,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65,feature_64,feature_577,feature_316,feature_180",feature_180,0.23116531209149088,0.02866366586087041,0.007400926701360345,0.7626932290518713,0.5103937270826793,0.11105461410986633,2.03660995165507,0.06196421844031578,0.13623989423116048,0.1826243418262186,164.69432035737077,3.5284448445721983,258076,cl100k_base,feature-value JSON only; prompt overhead excluded,16.64362182381014,0.12475709916790198,-0.004987530917629351,7.998723675813665,-0.0623540844736332
20,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452,feature_510,feature_103,feature_21,feature_341,feature_65,feature_64,feature_577,feature_316,feature_180,feature_124",feature_124,0.2349865957609997,0.038690776815017994,0.00998991561709285,0.7640930622252797,0.509148112032071,0.1651863118585983,1.9924508253733317,0.045577851505700484,0.13333409627278645,0.18635376857918928,172.6828334396937,3.567034411836877,270594,cl100k_base,feature-value JSON only; prompt overhead excluded,17.45092222365536,0.1285783828374108,0.003821283669508818,7.988513082322925,0.04783473006966214
